Frame,Time,RightBicepsbrachiicaputbrevis,RightTricepsbrachiicaputlongus,LeftBicepsbrachiicaputbrevis,LeftTricepsbrachiicaputlongus,RightTrapeziusdescendens,LeftTrapeziusdescendens,RightLatissimusDorsi,LeftLatissimusDorsi,
0,0.000,0.010069,-0.006152,0.003786,0.022256,0.001876,0.007570,0.008004,-0.002477,
1,0.001,0.006834,0.000260,-0.000666,0.020035,0.005626,0.017049,0.001909,-0.008840,
2,0.002,0.006648,0.002105,-0.004773,0.013251,0.010560,0.023106,-0.007172,-0.002910,
3,0.003,0.007655,0.007502,0.000595,0.013153,0.007544,0.030625,-0.025572,-0.002242,
4,0.004,0.009828,0.009004,0.001399,0.008513,0.012821,0.025183,-0.033079,-0.004272,
5,0.005,0.006790,0.004253,-0.001509,0.004917,0.010830,0.027669,-0.030115,-0.000079,
6,0.006,0.003114,-0.002868,-0.000861,-0.006159,0.002587,0.023276,-0.018448,0.003904,
7,0.007,0.004160,0.003204,0.005030,-0.000444,0.001629,0.017923,-0.023972,-0.000864,
8,0.008,-0.000001,-0.002562,0.001443,0.001008,0.002702,0.010110,-0.017868,0.000773,
9,0.009,-0.006315,-0.001723,-0.003335,-0.004022,0.003599,0.007064,-0.012321,0.001226,
10,0.010,0.002679,0.000812,-0.010148,-0.016905,0.004494,0.006230,-0.007316,-0.000340,
11,0.011,0.000009,-0.003592,-0.001571,-0.021240,0.000823,-0.001463,-0.008232,0.004648,
12,0.012,-0.000459,-0.001563,-0.002480,-0.012149,-0.006898,-0.004387,-0.001593,0.001031,
13,0.013,-0.000776,0.000299,0.000670,-0.010131,-0.003801,-0.005106,-0.004412,0.002654,
14,0.014,-0.002768,0.000641,-0.001919,-0.003091,-0.004592,-0.009183,-0.005030,-0.002612,
15,0.015,-0.001579,0.005729,-0.000964,0.002959,-0.002004,-0.003827,-0.000123,-0.004653,
16,0.016,-0.007468,0.003549,-0.006108,0.001840,-0.001268,-0.001707,-0.005667,-0.004159,
17,0.017,-0.004428,0.000362,-0.002462,0.002735,0.000816,-0.004622,-0.004627,-0.003669,
18,0.018,-0.006129,-0.003826,-0.004064,0.001837,-0.002162,-0.005008,-0.006296,0.003029,
19,0.019,-0.004991,0.003822,-0.003459,0.002631,0.005519,-0.003378,-0.001750,0.000275,
20,0.020,-0.010268,0.004697,-0.002858,0.000476,0.004579,-0.002093,-0.007829,0.004421,
21,0.021,-0.010496,0.007610,-0.002442,-0.006969,0.000085,-0.006693,-0.006645,0.000651,
22,0.022,-0.009409,0.004772,-0.000335,-0.011698,-0.007622,-0.004877,-0.001114,0.005471,
23,0.023,-0.014739,0.010568,0.001599,-0.005018,-0.004511,-0.001895,-0.002846,0.003699,
24,0.024,-0.007478,0.009773,0.002005,-0.002328,-0.005285,-0.000281,0.006839,0.001937,
25,0.025,-0.009867,0.007619,-0.001665,-0.002846,-0.002678,-0.002376,0.005700,0.004393,
26,0.026,-0.015460,0.009201,-0.002798,0.003528,-0.000411,-0.006128,0.009593,0.002124,
27,0.027,-0.011472,0.014349,-0.001576,-0.000623,-0.006756,-0.005472,0.004216,0.000879,
28,0.028,-0.013264,0.006471,-0.007295,-0.007282,-0.002423,-0.004975,0.005412,0.001822,
29,0.029,-0.012560,-0.000906,-0.003036,-0.009651,-0.002987,-0.006000,-0.002810,-0.002107,
30,0.030,-0.011903,-0.005565,-0.002333,-0.015095,-0.002188,-0.007688,0.000599,-0.006845,
31,0.031,-0.009269,0.000259,-0.007217,-0.009552,-0.002585,-0.005168,-0.000229,-0.002638,
32,0.032,-0.013408,-0.006774,-0.005499,-0.005808,-0.001945,-0.002677,-0.000895,0.000185,
33,0.033,-0.012845,-0.004174,-0.005991,-0.002641,-0.001295,-0.000046,-0.003246,-0.002386,
34,0.034,-0.015344,-0.005105,-0.004445,-0.008787,-0.002344,-0.005155,-0.005260,-0.001241,
35,0.035,-0.014171,-0.002972,-0.003244,-0.000935,-0.001036,-0.005705,-0.003070,-0.000103,
36,0.036,-0.015397,0.000530,-0.002893,0.006223,-0.000602,-0.004925,-0.002426,-0.000484,
37,0.037,-0.017332,0.000998,-0.001022,0.014344,-0.000202,-0.007852,-0.001788,0.001153,
38,0.038,-0.015765,0.000453,-0.002031,0.006417,-0.001177,-0.006071,-0.003196,0.000764,
39,0.039,-0.013567,0.003966,-0.000334,0.005300,-0.000985,-0.002464,-0.000059,0.002060,
40,0.040,-0.015116,0.003599,-0.001698,0.000706,0.000217,-0.006610,0.000352,0.003181,
41,0.041,-0.013661,0.001553,-0.000018,0.004789,0.000403,-0.000137,-0.005286,-0.000573,
42,0.042,-0.017622,0.000515,0.001161,-0.003641,0.002774,-0.002614,-0.006040,0.000920,
43,0.043,-0.014357,0.003713,0.004372,-0.006759,0.002433,0.002677,-0.009651,0.003068,
44,0.044,-0.011643,0.002523,0.005545,-0.009665,0.001744,-0.002146,-0.008881,0.007725,
45,0.045,-0.014023,0.001501,0.003501,-0.017855,-0.000651,0.002122,-0.010498,0.000758,
46,0.046,-0.013384,0.002515,0.006006,-0.009971,0.002367,-0.005425,-0.015659,-0.000114,
47,0.047,-0.015469,0.001491,0.007672,0.005540,0.002683,0.006058,-0.016271,-0.002657,
48,0.048,-0.012857,0.001292,0.006637,-0.001149,0.002319,0.004516,-0.006804,-0.003335,
49,0.049,-0.012301,0.001936,0.003573,-0.011207,0.002622,0.003143,-0.002784,-0.002663,
50,0.050,-0.007561,0.000739,-0.001184,-0.020258,0.003934,-0.003116,0.015999,-0.003174,
51,0.051,-0.013291,0.000560,-0.002895,-0.011696,0.003212,-0.004125,0.023913,0.003210,
52,0.052,-0.008920,0.002752,-0.004611,-0.019080,0.001478,-0.007149,0.021365,0.007367,
53,0.053,-0.008958,-0.001485,-0.010394,-0.028324,-0.001438,-0.000758,0.010088,0.003611,
54,0.054,-0.009007,0.000212,-0.011099,-0.034075,-0.005036,-0.006690,-0.000111,0.004259,
55,0.055,-0.003852,0.001903,-0.009093,-0.028124,-0.009313,-0.004523,-0.009415,0.001203,
56,0.056,-0.003782,-0.000651,-0.004895,-0.020620,-0.007663,-0.005231,-0.014463,0.005242,
57,0.057,0.000485,-0.003720,-0.000870,-0.006594,-0.000944,-0.002242,-0.012915,0.000519,
58,0.058,0.002882,-0.004911,0.001640,0.007367,0.001717,-0.001809,-0.016929,0.001032,
59,0.059,0.007447,-0.000691,0.002796,0.008942,0.000822,-0.004394,-0.010646,0.000537,
60,0.060,0.001894,-0.002396,0.008352,0.010326,-0.004476,-0.004728,-0.009590,0.004073,
61,0.061,0.009508,-0.001898,0.006114,0.017485,0.001893,-0.000838,-0.004351,-0.002830,
62,0.062,0.001114,-0.001575,-0.004568,0.015723,0.000986,0.006860,-0.003513,-0.003808,
63,0.063,0.007750,-0.004481,-0.000027,0.021518,0.003116,0.005733,0.004218,-0.001089,
64,0.064,0.011678,-0.006363,0.004013,0.008750,-0.001852,0.008622,0.005166,-0.001920,
65,0.065,0.006852,-0.007399,0.005181,0.006836,0.002315,0.000028,0.004268,-0.002583,
66,0.066,0.006956,-0.011815,0.004153,0.005129,-0.006545,0.007622,0.008420,-0.004581,
67,0.067,0.011274,-0.004223,-0.003143,-0.004567,-0.005414,0.008440,0.007674,-0.002867,
68,0.068,0.014920,0.003042,-0.002309,0.004057,-0.008678,0.005551,0.011121,-0.001167,
69,0.069,0.016043,0.000341,0.005465,0.014070,-0.005695,0.006201,0.004101,-0.003670,
