Frame,Time,RightBicepsBrachiiCaputBrevis,RightTricepsBrachiiCaputLongus,LeftBicepsBrachiiCaputBrevis,LeftTricepsBrachiiCaputLongus,RightTrapeziusDescendens,LeftTrapeziusDescendens,RightLatissimusDorsi,LeftLatissimusDorsi
61,0.061,-0.003774,-0.001889,-0.003082,0.006838,0.008433,0.053624,0.002463,0.002918
62,0.062,-0.004575,-0.006798,-0.003881,0.006503,-0.005734,0.055984,0.006077,0.002253
63,0.063,-0.000513,0.000074,-0.001671,0.001429,-0.024135,0.052780,0.000403,0.004304
64,0.064,-0.002358,-0.004537,-0.000998,0.010640,-0.016846,0.020207,0.001145,0.012628
65,0.065,0.005218,-0.008773,0.000689,-0.005753,0.003338,-0.019520,0.004746,0.018259
66,0.066,0.010562,-0.003567,0.000183,-0.012286,0.011287,-0.035282,0.001740,0.019325
67,0.067,0.003100,-0.011344,-0.000319,-0.006162,0.003885,-0.020859,-0.004657,0.018528
68,0.068,0.002067,-0.001926,0.000866,0.010503,0.010321,0.001024,-0.000400,0.022801
69,0.069,0.006086,-0.003167,0.003725,0.021499,0.012186,0.020734,0.000295,0.022143
70,0.070,0.002190,-0.000030,0.001856,0.019322,0.017595,0.031233,-0.006128,0.017254
71,0.071,0.006878,-0.001105,0.000168,0.021000,0.022467,0.027699,-0.006981,0.007806
72,0.072,0.004988,-0.000332,-0.000157,0.019145,0.023776,0.030237,-0.006313,0.000898
73,0.073,0.008840,-0.001232,0.000521,0.008393,0.027598,0.027222,-0.005660,-0.000245
74,0.074,0.007110,0.000900,0.002211,0.004275,0.031055,0.024569,-0.002643,0.003019
75,0.075,0.005745,0.002852,-0.000991,0.000507,0.036331,0.008821,0.002584,0.012553
76,0.076,0.006755,0.003287,0.003732,-0.016526,0.030804,-0.013722,0.001888,0.008898
77,0.077,0.001553,0.009612,0.000682,-0.033628,0.024129,-0.028547,0.000174,0.007950
78,0.078,0.004967,0.005306,0.004707,-0.018014,0.017983,-0.025787,0.004212,0.004964
79,0.079,0.001814,0.007422,0.005176,-0.019967,0.012541,-0.028076,0.002664,-0.001428
80,0.080,0.003400,0.008008,0.005473,-0.010633,0.001753,-0.030181,0.001461,-0.014279
81,0.081,-0.002406,0.007425,-0.000962,0.001175,-0.002911,-0.028065,0.001782,-0.031041
82,0.082,-0.001784,0.006852,-0.000129,-0.000364,-0.004339,-0.052012,-0.003981,-0.042255
