Frame,Time,GSensor.X,GSensor.Y,GSensor.Z,
0,0.000,-1.0,-0.1,0.1,
1,0.010,-0.7,-0.2,0.1,
2,0.020,-0.2,-0.3,0.1,
3,0.030,0.4,-0.5,0.1,
4,0.040,0.2,-0.4,0.0,
5,0.050,0.2,-0.4,-0.1,
6,0.060,0.4,-0.4,0.0,
7,0.070,0.4,-0.2,0.1,
8,0.080,0.1,-0.1,0.1,
9,0.090,-0.6,0.1,0.1,
10,0.100,-1.2,0.1,0.0,
11,0.110,-1.3,0.2,-0.1,
12,0.120,-0.9,0.1,0.0,
13,0.130,0.4,0.1,-0.1,
14,0.140,0.5,0.1,-0.1,
15,0.150,0.8,0.2,-0.1,
16,0.160,0.8,0.1,-0.1,
17,0.170,0.3,0.3,-0.1,
18,0.180,0.2,0.4,-0.1,
19,0.190,-0.1,0.2,0.0,
20,0.200,-0.1,0.3,-0.1,
21,0.210,0.1,0.2,0.0,
22,0.220,0.5,0.1,0.0,
23,0.230,0.9,0.2,0.0,
24,0.240,1.0,0.1,-0.1,
25,0.250,0.9,0.1,-0.1,
26,0.260,0.7,0.1,-0.1,
27,0.270,0.1,0.3,-0.1,
28,0.280,-0.6,0.3,-0.2,
29,0.290,-0.2,0.4,-0.2,
30,0.300,0.0,0.5,-0.2,
31,0.310,1.2,0.5,-0.4,
32,0.320,1.8,0.6,-0.5,
33,0.330,3.4,0.7,-0.5,
34,0.340,3.4,0.7,-0.5,
35,0.350,3.7,0.9,-0.5,
36,0.360,3.1,1.0,-0.5,
37,0.370,2.6,1.0,-0.5,
38,0.380,2.5,1.0,-0.5,
39,0.390,1.7,1.0,-0.5,
40,0.400,1.5,1.0,-0.4,
41,0.410,1.3,0.9,-0.5,
42,0.420,1.4,0.9,-0.4,
43,0.430,1.0,0.7,-0.4,
44,0.440,0.7,0.5,-0.2,
45,0.450,0.5,0.5,-0.2,
46,0.460,0.2,0.2,0.0,
47,0.470,-0.2,0.1,0.0,
48,0.480,-0.5,-0.1,0.1,
49,0.490,-0.8,-0.3,0.1,
50,0.500,-0.7,-0.5,0.2,
51,0.510,-0.4,-0.7,0.2,
52,0.520,-0.2,-0.8,0.3,
53,0.530,0.0,-0.8,0.3,
54,0.540,1.0,-0.9,0.4,
55,0.550,1.5,-1.0,0.3,
56,0.560,1.5,-1.0,0.3,
57,0.570,1.5,-0.9,0.2,
58,0.580,1.3,-0.8,0.2,
59,0.590,1.5,-0.7,0.1,
60,0.600,1.5,-0.5,0.1,
61,0.610,1.2,-0.3,0.0,
62,0.620,0.9,-0.1,0.0,
63,0.630,0.8,0.1,-0.1,
64,0.640,0.8,0.3,-0.2,
65,0.650,0.9,0.4,-0.2,
66,0.660,0.7,0.4,-0.2,
67,0.670,0.5,0.5,-0.2,
68,0.680,0.0,0.4,-0.1,
69,0.690,0.0,0.5,-0.2,
70,0.700,-0.1,0.3,-0.1,
71,0.710,0.3,0.2,-0.1,
72,0.720,0.2,0.2,-0.1,
73,0.730,0.7,0.0,-0.1,
74,0.740,1.5,0.0,-0.1,
75,0.750,2.0,-0.1,-0.2,
76,0.760,3.1,-0.2,-0.2,
77,0.770,3.6,-0.1,-0.2,
78,0.780,4.4,-0.2,-0.4,
79,0.790,4.5,-0.1,-0.2,
80,0.800,4.1,0.0,-0.2,
81,0.810,3.4,0.0,-0.3,
82,0.820,2.8,0.0,-0.3,
83,0.830,1.7,0.1,-0.2,
84,0.840,0.9,0.2,-0.1,
85,0.850,0.0,0.4,-0.1,
86,0.860,-0.5,0.4,-0.1,
87,0.870,-0.4,0.5,-0.1,
88,0.880,-0.5,0.4,-0.1,
89,0.890,0.0,0.3,-0.1,
90,0.900,0.4,0.4,-0.1,
91,0.910,0.6,0.4,-0.1,
92,0.920,0.6,0.2,-0.2,
93,0.930,0.6,0.3,-0.2,
94,0.940,0.2,0.2,-0.2,
95,0.950,0.0,0.1,-0.1,
96,0.960,0.3,0.0,-0.1,
97,0.970,0.6,-0.1,0.0,
98,0.980,0.9,-0.4,0.1,
99,0.990,1.1,-0.5,0.1,
100,1.000,1.3,-0.5,0.1,
101,1.010,1.0,-0.7,0.1,
102,1.020,1.0,-0.8,0.2,
103,1.030,1.1,-0.9,0.3,
104,1.040,1.0,-0.9,0.3,
105,1.050,0.6,-0.9,0.3,
106,1.060,0.7,-0.8,0.3,
107,1.070,1.3,-0.7,0.2,
108,1.080,1.0,-0.5,0.1,
109,1.090,0.9,-0.3,0.1,
110,1.100,0.4,-0.2,0.1,
111,1.110,0.5,-0.1,0.0,
112,1.120,0.6,-0.1,-0.1,
113,1.130,0.5,0.0,-0.1,
114,1.140,0.5,0.0,-0.1,
115,1.150,0.4,0.1,0.0,
116,1.160,1.2,0.0,0.0,
117,1.170,1.2,0.0,0.0,
118,1.180,0.9,-0.1,0.0,
119,1.190,0.9,-0.1,0.0,
120,1.200,0.7,-0.1,0.0,
121,1.210,0.8,-0.2,0.0,
122,1.220,1.5,-0.3,-0.1,
123,1.230,1.4,-0.1,0.0,
124,1.240,1.8,-0.1,-0.1,
125,1.250,1.7,-0.1,-0.1,
126,1.260,1.8,-0.1,-0.1,
127,1.270,1.4,0.0,-0.1,
128,1.280,1.5,0.0,-0.2,
129,1.290,1.5,0.0,-0.2,
130,1.300,0.9,0.1,-0.1,
131,1.310,0.7,0.1,-0.1,
132,1.320,0.9,0.1,-0.1,
133,1.330,0.2,0.1,-0.1,
134,1.340,0.5,0.1,-0.1,
135,1.350,0.2,0.1,0.0,
136,1.360,-0.2,0.1,0.0,
137,1.370,-0.7,0.1,0.0,
138,1.380,-1.2,0.2,0.0,
139,1.390,-1.3,0.1,0.0,
140,1.400,-1.7,0.2,0.0,
141,1.410,-1.2,0.2,0.0,
142,1.420,-1.0,0.2,0.0,
143,1.430,-0.4,0.0,-0.1,
144,1.440,0.1,0.1,0.1,
145,1.450,0.5,-0.1,0.0,
146,1.460,0.7,-0.1,0.0,
147,1.470,0.7,-0.2,0.0,
148,1.480,0.7,-0.2,0.0,
149,1.490,0.6,-0.2,0.1,
150,1.500,0.4,-0.3,0.1,
151,1.510,0.4,-0.2,0.1,
152,1.520,0.5,-0.2,0.0,
153,1.530,0.9,-0.2,0.1,
154,1.540,0.8,-0.2,0.0,
155,1.550,1.2,-0.1,0.0,
156,1.560,1.7,-0.1,0.0,
157,1.570,1.9,-0.1,0.0,
158,1.580,1.6,-0.1,0.0,
159,1.590,1.0,-0.2,0.0,
160,1.600,1.0,-0.1,-0.1,
161,1.610,0.5,-0.1,0.0,
162,1.620,0.0,-0.1,0.0,
163,1.630,-0.1,-0.1,0.0,
164,1.640,0.0,0.0,0.0,
165,1.650,0.4,0.0,0.0,
166,1.660,0.5,0.0,0.0,
167,1.670,0.7,-0.1,0.0,
168,1.680,0.5,-0.2,0.0,
169,1.690,0.3,-0.2,0.1,
170,1.700,0.0,-0.2,0.1,
171,1.710,-0.1,-0.2,0.0,
172,1.720,-0.3,-0.2,0.0,
173,1.730,-0.5,-0.1,0.0,
174,1.740,-0.5,-0.1,0.0,
175,1.750,-0.2,-0.1,0.0,
176,1.760,0.1,-0.1,0.0,
177,1.770,0.2,-0.1,0.1,
178,1.780,0.5,-0.2,0.1,
179,1.790,0.6,-0.2,0.1,
180,1.800,0.4,-0.2,0.0,
181,1.810,0.1,-0.1,0.1,
182,1.820,0.5,-0.1,0.1,
183,1.830,0.6,-0.1,0.0,
184,1.840,0.5,-0.1,0.0,
185,1.850,0.9,0.0,0.0,
186,1.860,1.0,-0.1,0.0,
187,1.870,1.2,-0.1,0.0,
188,1.880,0.9,0.0,-0.1,
189,1.890,0.5,0.1,-0.1,
