Frame,Time,GSensor.X,GSensor.Y,GSensor.Z
166,1.660,3.6,-1.3,113.8
167,1.670,3.6,-1.3,113.8
168,1.680,3.6,-1.3,113.8
169,1.690,3.6,-1.3,113.8
170,1.700,3.6,-1.3,113.8
171,1.710,3.6,-1.3,113.8
172,1.720,3.6,-1.3,113.8
173,1.730,3.6,-1.3,113.8
174,1.740,3.6,-1.3,113.8
175,1.750,3.6,-1.3,113.8
176,1.760,3.6,-1.3,113.8
177,1.770,3.6,-1.3,113.8
178,1.780,3.6,-1.2,113.8
179,1.790,3.6,-1.2,113.8
180,1.800,3.6,-1.2,113.8
181,1.810,3.6,-1.2,113.8
182,1.820,3.6,-1.2,113.8
183,1.830,3.6,-1.2,113.8
184,1.840,3.6,-1.2,113.8
185,1.850,3.6,-1.2,113.8
186,1.860,3.6,-1.2,113.8
187,1.870,3.6,-1.2,113.8
188,1.880,3.6,-1.2,113.8
189,1.890,3.6,-1.2,113.8
190,1.900,3.6,-1.2,113.8
191,1.910,3.6,-1.2,113.8
192,1.920,3.6,-1.2,113.8
193,1.930,3.6,-1.2,113.8
194,1.940,3.6,-1.2,113.8
195,1.950,3.6,-1.2,113.8
196,1.960,3.6,-1.2,113.8
197,1.970,3.6,-1.2,113.8
198,1.980,3.6,-1.2,113.8
199,1.990,3.6,-1.2,113.8
200,2.000,3.6,-1.2,113.8
201,2.010,3.6,-1.2,113.8
202,2.020,3.6,-1.2,113.8
203,2.030,3.6,-1.2,113.8
204,2.040,3.6,-1.2,113.8
205,2.050,3.6,-1.2,113.8
206,2.060,3.6,-1.2,113.8
207,2.070,3.6,-1.2,113.8
208,2.080,3.6,-1.2,113.8
209,2.090,3.6,-1.2,113.8
210,2.100,3.6,-1.2,113.8
211,2.110,3.6,-1.2,113.8
212,2.120,3.6,-1.2,113.8
213,2.130,3.6,-1.2,113.8
214,2.140,3.5,-1.2,113.8
215,2.150,3.5,-1.2,113.8
216,2.160,3.5,-1.2,113.8
217,2.170,3.5,-1.3,113.8
218,2.180,3.5,-1.3,113.8
219,2.190,3.5,-1.3,113.8
220,2.200,3.5,-1.3,113.8
221,2.210,3.5,-1.3,113.8
222,2.220,3.5,-1.3,113.8
223,2.230,3.5,-1.3,113.8
224,2.240,3.5,-1.3,113.8
225,2.250,3.5,-1.3,113.8
226,2.260,3.5,-1.3,113.8
227,2.270,3.5,-1.3,113.8
228,2.280,3.5,-1.3,113.8
229,2.290,3.5,-1.3,113.8
230,2.300,3.5,-1.3,113.8
231,2.310,3.5,-1.3,113.8
232,2.320,3.5,-1.3,113.8
233,2.330,3.5,-1.3,113.8
234,2.340,3.5,-1.3,113.8
235,2.350,3.5,-1.3,113.8
236,2.360,3.5,-1.3,113.8
237,2.370,3.5,-1.3,113.8
238,2.380,3.4,-1.2,113.8
239,2.390,3.4,-1.2,113.8
240,2.400,3.4,-1.2,113.8
241,2.410,3.4,-1.2,113.8
242,2.420,3.4,-1.2,113.8
243,2.430,3.4,-1.2,113.8
244,2.440,3.4,-1.2,113.8
245,2.450,3.4,-1.2,113.8
246,2.460,3.4,-1.2,113.8
247,2.470,3.4,-1.2,113.8
248,2.480,3.3,-1.2,113.8
249,2.490,3.3,-1.2,113.8
250,2.500,3.3,-1.2,113.8
251,2.510,3.3,-1.2,113.8
252,2.520,3.3,-1.2,113.8
253,2.530,3.3,-1.2,113.8
254,2.540,3.3,-1.2,113.8
255,2.550,3.3,-1.2,113.8
256,2.560,3.3,-1.2,113.8
257,2.570,3.3,-1.2,113.8
258,2.580,3.3,-1.2,113.8
259,2.590,3.2,-1.2,113.8
260,2.600,3.2,-1.2,113.8
261,2.610,3.2,-1.2,113.8
262,2.620,3.1,-1.2,113.8
263,2.630,3.1,-1.2,113.8
264,2.640,3.1,-1.1,113.8
265,2.650,3.1,-1.1,113.8
266,2.660,3.1,-1.1,113.8
267,2.670,3.1,-1.1,113.8
268,2.680,3.1,-1.2,113.8
