Frame,Time,RightBicepsbrachiicaputbrevis,RightTricepsbrachiicaputlongus,LeftBicepsbrachiicaputbrevis,LeftTricepsbrachiicaputlongus,RightTrapeziusdescendens,LeftTrapeziusdescendens,RightLatissimusDorsi,LeftLatissimusDorsi,
59,0.059,-0.000689,-0.002902,0.001473,0.009210,0.089564,0.026041,-0.000369,-0.000988,
60,0.060,0.001399,0.000962,0.003491,0.005162,0.072171,0.043975,0.001916,0.001557,
61,0.061,0.009054,0.003474,0.000432,0.011944,0.067039,0.060118,-0.008661,-0.005336,
62,0.062,0.005896,0.003124,0.003303,0.009240,0.052756,0.068585,-0.013155,-0.006304,
63,0.063,0.008497,0.001925,0.000752,0.006703,0.030869,0.070949,-0.011729,-0.001727,
64,0.064,0.009264,0.002930,-0.000445,0.006040,0.019099,0.053435,-0.017914,-0.004243,
65,0.065,0.012912,0.004607,0.000731,0.008109,0.001014,0.059912,-0.016830,-0.006400,
66,0.066,0.002169,0.004947,0.003257,0.001225,-0.015428,0.057834,-0.011514,-0.001474,
67,0.067,0.009712,0.004261,-0.001995,-0.009041,-0.024293,0.048513,-0.006870,0.001576,
68,0.068,0.016583,0.000361,-0.001324,-0.015938,-0.027091,0.029919,-0.011029,-0.000100,
69,0.069,0.017695,-0.000154,-0.000661,-0.009646,-0.034468,0.002693,-0.013157,0.006632,
70,0.070,0.009846,0.001369,-0.001181,-0.006401,-0.045730,-0.008129,-0.005318,0.003909,
71,0.071,0.012807,-0.000823,-0.005237,-0.001139,-0.068322,-0.024489,0.002020,-0.000307,
72,0.072,0.008207,-0.003680,-0.004737,-0.000273,-0.071292,-0.033242,-0.002474,0.003398,
73,0.073,0.009003,0.002083,-0.005933,0.002285,-0.052258,-0.019540,0.007064,-0.001502,
74,0.074,0.003714,0.001249,0.000491,0.009246,-0.019962,-0.041906,0.003403,0.004218,
75,0.075,0.007211,0.003474,0.003185,0.004698,0.010866,-0.086950,0.002424,-0.002709,
76,0.076,0.002922,0.001469,-0.002753,0.010630,0.022783,-0.132196,0.001441,-0.001855,
77,0.077,-0.002394,0.001999,0.000963,0.008436,0.026406,-0.126552,0.006035,-0.004369,
78,0.078,-0.001813,0.000324,0.001623,0.003544,0.029695,-0.067968,0.000153,-0.000657,
79,0.079,-0.002926,0.002714,0.003645,-0.009651,0.019252,-0.006337,0.004415,-0.006717,
80,0.080,0.006455,0.000195,0.007864,-0.013882,0.010484,0.016934,0.003771,-0.006013,
81,0.081,-0.000565,0.000552,-0.000947,-0.011028,-0.003172,-0.018614,0.001763,-0.000271,
82,0.082,-0.001815,-0.000610,0.000217,-0.010535,-0.025425,-0.025060,0.004822,-0.000961,
83,0.083,0.001317,0.002966,-0.003018,-0.010905,-0.016570,0.039504,-0.001583,-0.000312,
84,0.084,-0.006029,-0.003094,-0.000001,-0.017368,0.002601,0.082603,0.000977,0.003857,
85,0.085,-0.003388,0.001169,-0.004594,-0.016560,0.019930,0.105978,-0.001195,0.000953,
86,0.086,0.004310,0.003400,-0.000389,-0.007138,0.031236,0.098912,-0.007586,0.000415,
87,0.087,0.001181,0.001405,-0.002609,-0.006002,0.045745,0.079633,-0.001636,-0.004669,
88,0.088,0.001938,0.003138,0.002269,0.001722,0.044405,0.073874,-0.002276,0.001722,
89,0.089,-0.004078,0.004863,0.001736,0.006907,0.050047,0.057991,0.005540,0.000846,
90,0.090,-0.001986,-0.002881,0.002217,0.007695,0.039822,0.043623,0.004552,0.004516,
91,0.091,-0.009881,0.000377,-0.000351,0.010164,0.024927,0.012855,0.001872,-0.000413,
92,0.092,-0.004741,-0.004826,0.005709,0.004840,0.015053,-0.014980,-0.000646,0.000054,
93,0.093,-0.004006,-0.000219,-0.000248,0.008305,0.009672,-0.040248,0.003104,-0.002849,
94,0.094,-0.011901,0.000663,-0.002482,0.009908,-0.002041,-0.089686,0.005164,-0.001351,
95,0.095,-0.019310,0.001373,0.005263,0.006953,-0.009620,-0.110935,0.008232,-0.003569,
96,0.096,-0.022158,-0.003500,-0.000021,0.012620,-0.016630,-0.091714,0.007752,-0.003253,
97,0.097,-0.031801,0.003468,0.002640,0.011859,-0.015576,-0.074432,0.005230,-0.000748,
98,0.098,-0.023163,0.000793,0.001750,0.009756,-0.012492,-0.048002,0.000162,0.000899,
99,0.099,-0.006228,-0.001718,0.001030,0.009163,-0.011583,0.014962,-0.003380,-0.004196,
100,0.100,-0.004003,0.002027,0.003021,0.008582,-0.016236,0.040690,-0.005075,0.003530,
101,0.101,0.002427,0.000015,0.006032,0.009019,-0.018857,0.032738,0.003726,-0.001740,
102,0.102,0.000237,-0.000472,0.005485,0.010132,-0.024170,-0.002948,0.004923,-0.002617,
103,0.103,-0.005490,-0.000951,0.005959,0.014815,-0.029100,-0.009463,-0.002847,0.005098,
104,0.104,-0.007332,-0.002451,0.002874,0.010531,-0.034831,0.019747,-0.010123,0.004013,
105,0.105,-0.018133,-0.002770,0.001663,0.001689,-0.032570,0.024948,-0.009277,-0.002456,
106,0.106,-0.003053,-0.005625,-0.000231,-0.009687,-0.031826,0.039298,-0.013512,0.000030,
107,0.107,-0.001151,-0.003072,-0.003470,-0.011259,-0.041258,0.026099,-0.009807,-0.000698,
108,0.108,-0.003131,0.000829,0.002934,-0.015355,-0.062069,0.014262,-0.014729,-0.002774,
109,0.109,0.005208,0.001347,0.003756,-0.014211,-0.101206,0.039661,-0.005277,0.000203,
110,0.110,-0.002530,-0.005586,-0.004042,-0.006475,-0.074743,0.056140,-0.001242,0.001825,
111,0.111,-0.006698,-0.002530,-0.001019,-0.009571,-0.060498,0.047430,0.004989,0.006479,
112,0.112,-0.018133,0.000189,-0.001885,-0.014179,-0.029873,0.006420,0.001726,0.006892,
113,0.113,-0.013680,0.001039,-0.006141,-0.025393,0.013927,-0.046406,0.004712,-0.000784,
114,0.114,-0.004131,-0.007419,-0.003971,-0.026969,0.042988,-0.053374,0.005510,-0.006063,
115,0.115,-0.007942,0.000356,-0.006027,-0.020089,0.058678,-0.059705,0.001234,-0.006938,
116,0.116,-0.004804,0.001366,-0.007745,-0.008800,0.063181,-0.065389,0.003383,-0.006132,
117,0.117,0.002383,-0.001350,-0.003716,-0.004287,0.067337,-0.049450,0.002667,0.002262,
118,0.118,0.008740,-0.003897,-0.003244,-0.005692,0.063208,-0.044713,0.009562,-0.000994,
119,0.119,0.021519,-0.004593,-0.010210,0.000507,0.059424,-0.066737,0.003088,-0.004079,
120,0.120,-0.006461,-0.006637,-0.002970,0.001478,0.055988,-0.054948,-0.002878,0.000428,
121,0.121,0.005313,-0.000909,-0.000295,0.006679,0.040880,-0.007640,0.002321,0.001213,
122,0.122,0.001695,0.001266,-0.002872,0.005803,-0.000442,0.024611,0.000251,0.004857,
123,0.123,0.004824,-0.008061,0.000819,0.008309,-0.029907,0.041991,0.009675,0.004107,
124,0.124,0.007638,-0.004359,0.002818,0.008961,-0.045951,0.057917,0.005576,0.001005,
125,0.125,0.015674,-0.001161,-0.002961,0.006913,-0.041317,0.062737,0.006728,-0.000731,
126,0.126,0.027948,0.004064,0.002255,0.001129,-0.019405,0.049608,-0.001064,0.001752,
127,0.127,0.030100,-0.000527,-0.002687,0.004827,0.024507,0.045761,0.001971,-0.003362,
128,0.128,0.023950,0.001985,-0.002213,0.002772,0.041861,0.020456,0.002811,-0.005422,
129,0.129,0.018319,0.004155,0.000628,0.009680,0.036546,-0.009114,0.007026,0.001483,
130,0.130,0.006427,0.002101,0.005331,0.003218,0.022080,-0.012704,0.003284,0.000611,
