Frame,Time,GSensor.X,GSensor.Y,GSensor.Z
162,1.620,0.1,0.1,0.0
163,1.630,-0.2,0.1,0.0
164,1.640,-0.4,0.2,-0.1
165,1.650,0.0,0.2,-0.1
166,1.660,0.3,0.2,-0.1
167,1.670,0.4,0.2,-0.1
168,1.680,0.1,0.2,-0.1
169,1.690,0.2,0.4,0.0
170,1.700,0.1,0.4,0.0
171,1.710,0.2,0.5,-0.1
172,1.720,-0.2,0.5,-0.1
173,1.730,-0.3,0.6,-0.1
174,1.740,-0.1,0.4,0.0
175,1.750,0.2,0.4,-0.1
176,1.760,0.4,0.2,0.0
177,1.770,0.0,0.2,0.0
178,1.780,-0.1,0.1,0.1
179,1.790,-0.3,0.2,0.0
180,1.800,0.0,0.1,0.0
181,1.810,0.4,0.2,-0.1
182,1.820,0.3,0.1,0.0
183,1.830,0.4,0.0,0.0
184,1.840,0.3,-0.1,-0.1
185,1.850,0.0,-0.1,0.0
186,1.860,-0.4,-0.1,0.0
187,1.870,-0.7,-0.1,0.0
188,1.880,-1.0,0.0,0.0
189,1.890,-0.9,0.0,0.0
190,1.900,-0.8,-0.1,0.1
191,1.910,-0.4,-0.2,0.0
192,1.920,-0.1,-0.1,0.0
193,1.930,0.2,-0.2,0.0
194,1.940,0.5,0.0,-0.1
195,1.950,0.4,0.1,-0.1
196,1.960,0.0,0.1,0.0
197,1.970,-0.2,0.2,0.0
198,1.980,0.0,0.2,0.0
199,1.990,0.1,0.2,-0.1
200,2.000,0.2,0.1,0.0
201,2.010,0.1,0.1,-0.1
202,2.020,0.1,0.1,0.1
203,2.030,0.2,0.0,0.0
204,2.040,-0.1,-0.1,0.0
205,2.050,-0.2,0.0,0.0
206,2.060,-0.4,-0.1,0.1
207,2.070,-0.7,-0.2,0.1
208,2.080,-0.8,-0.1,0.1
209,2.090,-0.9,-0.3,0.0
210,2.100,-0.7,-0.2,0.1
211,2.110,-0.5,-0.2,0.1
212,2.120,-0.7,-0.2,0.1
213,2.130,-0.7,-0.1,0.1
214,2.140,-0.8,-0.1,0.1
215,2.150,-1.2,-0.2,0.1
216,2.160,-1.2,0.0,0.0
217,2.170,-1.0,-0.1,0.1
218,2.180,-1.0,-0.1,0.0
219,2.190,-0.6,-0.2,0.0
220,2.200,0.0,-0.3,0.0
221,2.210,0.1,-0.2,0.1
222,2.220,0.1,-0.3,0.0
223,2.230,0.1,-0.3,0.0
224,2.240,-0.1,-0.4,0.1
225,2.250,-0.6,-0.2,0.0
226,2.260,-0.8,-0.1,0.0
227,2.270,-0.5,-0.1,-0.1
228,2.280,-0.6,0.0,-0.1
229,2.290,-0.5,0.1,0.0
230,2.300,0.0,0.2,0.0
231,2.310,0.1,0.4,0.0
232,2.320,0.2,0.4,0.0
233,2.330,0.3,0.3,0.0
234,2.340,0.2,0.5,0.0
235,2.350,0.1,0.5,0.0
236,2.360,-0.2,0.7,0.0
237,2.370,-0.4,0.7,0.0
238,2.380,-0.2,0.7,-0.1
239,2.390,-0.4,0.5,0.0
240,2.400,-0.5,0.5,-0.1
241,2.410,-0.4,0.5,-0.1
242,2.420,-0.9,0.4,-0.1
243,2.430,-1.2,0.3,0.1
244,2.440,-1.5,0.2,0.0
245,2.450,-1.6,0.0,0.0
246,2.460,-1.4,0.0,0.1
247,2.470,-1.0,-0.2,0.1
248,2.480,-0.9,-0.2,0.0
249,2.490,-1.0,-0.2,0.1
250,2.500,-0.7,-0.2,0.0
251,2.510,-0.5,-0.1,0.1
252,2.520,-0.5,-0.1,0.0
253,2.530,-0.4,0.0,-0.1
254,2.540,-0.3,0.0,-0.1
255,2.550,-1.0,0.0,-0.2
256,2.560,-0.8,0.1,-0.1
257,2.570,-1.6,0.2,0.0
258,2.580,-2.2,0.4,-0.1
259,2.590,-2.7,0.5,-0.1
260,2.600,-2.7,0.5,-0.1
261,2.610,-2.9,0.6,-0.2
262,2.620,-2.0,0.5,-0.1
263,2.630,-1.1,0.5,-0.1
264,2.640,-0.7,0.4,0.0
265,2.650,-0.4,0.3,-0.1
266,2.660,0.0,0.2,-0.1
267,2.670,0.1,0.2,0.0
268,2.680,0.5,0.0,0.0
269,2.690,1.1,-0.2,0.0
270,2.700,1.0,-0.2,0.0
271,2.710,1.0,-0.4,0.1
272,2.720,1.0,-0.4,0.1
273,2.730,1.1,-0.5,0.1
274,2.740,1.0,-0.5,0.2
275,2.750,0.9,-0.5,0.2
276,2.760,0.9,-0.5,0.1
277,2.770,0.2,-0.5,0.1
278,2.780,0.0,-0.4,0.1
279,2.790,-0.1,-0.3,0.1
280,2.800,-0.3,-0.3,0.2
281,2.810,-0.2,-0.4,0.1
282,2.820,-0.2,-0.3,0.1
283,2.830,-0.2,-0.2,0.0
284,2.840,0.0,-0.2,0.0
285,2.850,-0.2,0.0,0.0
286,2.860,-0.7,0.1,0.0
287,2.870,-1.3,0.4,0.0
288,2.880,-1.5,0.4,0.1
289,2.890,-1.5,0.4,0.1
290,2.900,-1.6,0.4,0.1
291,2.910,-1.0,0.1,0.0
292,2.920,-0.2,0.0,0.1
293,2.930,0.3,0.0,0.0
294,2.940,0.0,-0.1,0.0
295,2.950,-0.8,-0.1,0.1
296,2.960,-1.5,0.0,0.1
297,2.970,-1.6,0.0,0.0
298,2.980,-1.2,0.0,0.1
299,2.990,-0.9,0.0,0.0
300,3.000,-0.6,0.0,0.1
301,3.010,-0.8,0.1,0.1
302,3.020,-0.7,0.1,0.0
303,3.030,-0.4,0.1,0.0
304,3.040,-0.7,0.1,0.0
305,3.050,-0.6,0.1,0.0
306,3.060,-0.1,0.0,-0.1
307,3.070,0.5,0.0,-0.1
308,3.080,1.2,-0.2,0.0
309,3.090,1.5,-0.2,0.1
310,3.100,1.6,-0.2,0.0
311,3.110,1.3,-0.2,0.1
312,3.120,0.8,0.0,0.0
313,3.130,0.2,0.0,-0.1
314,3.140,-0.2,0.0,0.0
315,3.150,-0.5,0.1,0.0
316,3.160,-0.2,0.0,0.0
317,3.170,-0.3,-0.1,0.0
318,3.180,-0.2,-0.2,0.0
319,3.190,-0.2,-0.4,0.1
320,3.200,-0.1,-0.5,0.1
321,3.210,-0.2,-0.5,0.1
322,3.220,-0.4,-0.5,0.1
323,3.230,-0.4,-0.5,0.1
324,3.240,-0.3,-0.5,0.2
325,3.250,-0.3,-0.4,0.1
326,3.260,-0.7,-0.5,0.2
327,3.270,-1.2,-0.2,0.2
328,3.280,-1.3,-0.2,0.2
329,3.290,-1.1,-0.1,0.1
330,3.300,-1.5,-0.1,0.1
331,3.310,-1.6,0.0,0.1
332,3.320,-1.4,0.2,0.0
333,3.330,-1.2,0.4,0.0
334,3.340,-0.9,0.4,0.0
335,3.350,-0.2,0.4,0.0
336,3.360,0.4,0.4,-0.1
337,3.370,0.7,0.3,-0.1
338,3.380,0.8,0.2,-0.1
339,3.390,0.9,0.1,0.0
340,3.400,0.7,0.2,0.0
341,3.410,0.7,0.2,-0.1
342,3.420,1.0,0.0,0.0
343,3.430,1.2,-0.1,0.0
344,3.440,1.3,-0.2,0.0
345,3.450,1.2,-0.4,0.0
346,3.460,0.9,-0.5,0.1
347,3.470,1.0,-0.7,0.0
348,3.480,1.2,-0.7,0.0
349,3.490,1.2,-0.7,0.0
350,3.500,0.9,-0.5,0.1
351,3.510,0.5,-0.5,0.1
352,3.520,0.3,-0.4,0.1
353,3.530,0.4,-0.3,0.0
354,3.540,0.3,-0.3,0.0
355,3.550,0.0,-0.1,0.1
356,3.560,0.0,-0.1,0.1
357,3.570,0.0,0.0,0.0
358,3.580,0.1,0.1,0.0
359,3.590,0.4,0.2,0.0
360,3.600,0.7,0.3,0.1
361,3.610,1.2,0.4,0.0
362,3.620,1.7,0.5,0.0
363,3.630,2.6,0.3,0.0
364,3.640,3.2,0.4,0.0
365,3.650,4.0,0.1,0.0
366,3.660,5.1,0.2,0.2
367,3.670,7.3,0.1,0.2
368,3.680,9.7,0.1,0.2
