Frame,Time,RightBicepsbrachiicaputbrevis,RightTricepsbrachiicaputlongus,LeftBicepsbrachiicaputbrevis,LeftTricepsbrachiicaputlongus,RightTrapeziusdescendens,LeftTrapeziusdescendens,RightLatissimusDorsi,LeftLatissimusDorsi,
0,0.000,-0.005788,-0.012711,-0.001393,0.010392,0.006592,-0.005858,0.005921,0.000274,
1,0.001,-0.010063,-0.006588,-0.000194,0.008806,0.003485,-0.016460,0.003372,-0.003912,
2,0.002,-0.006809,-0.003547,-0.002365,0.000015,-0.001107,-0.025192,0.005556,-0.000176,
3,0.003,-0.005008,0.001481,-0.006531,-0.014559,0.001382,-0.032470,0.003506,0.001849,
4,0.004,-0.003592,0.002099,-0.010659,-0.023978,0.000670,-0.024545,0.000439,0.000170,
5,0.005,0.001904,0.009597,-0.003015,-0.036173,0.005498,-0.007041,-0.003643,-0.002665,
6,0.006,-0.004317,0.006289,0.000041,-0.033682,0.003739,0.014354,-0.000116,-0.001107,
7,0.007,-0.004397,0.006848,-0.000779,-0.037426,0.000822,0.021864,-0.002341,0.003963,
8,0.008,-0.001225,0.010734,0.005116,-0.043488,-0.001734,0.028432,-0.002023,-0.002405,
9,0.009,-0.002825,0.012585,0.002909,-0.028874,-0.003930,0.024799,-0.007790,-0.003180,
10,0.010,-0.001723,0.012918,0.003578,-0.011536,-0.001076,0.017415,-0.005274,-0.006806,
11,0.011,0.000351,0.015598,0.003060,0.000114,-0.000757,0.010952,-0.007499,-0.007378,
12,0.012,-0.005545,0.016924,0.001377,-0.005456,0.000235,0.001763,-0.003966,0.002119,
13,0.013,0.001325,0.021260,0.002892,-0.014177,0.000542,-0.022428,0.001768,-0.001883,
14,0.014,0.001481,0.012649,-0.000138,-0.018640,-0.001336,-0.038717,0.002424,-0.005522,
15,0.015,0.005086,0.011326,0.002736,-0.022582,-0.004708,-0.033964,0.003081,-0.002252,
16,0.016,0.005024,0.008014,0.002393,-0.020625,-0.001679,-0.018210,0.000008,-0.001194,
17,0.017,0.012359,-0.002466,0.002729,-0.031294,-0.002874,0.001015,0.000497,0.001525,
18,0.018,0.014446,-0.003974,-0.002317,-0.029144,0.001302,0.013044,-0.000027,0.002365,
19,0.019,0.018481,-0.002960,-0.004292,-0.021656,0.005282,0.019110,0.001137,0.006038,
20,0.020,0.021799,-0.008677,-0.005921,-0.002320,-0.001517,0.012711,0.003146,0.005314,
21,0.021,0.016547,-0.016025,0.001690,0.006123,0.004838,0.006996,0.002107,0.014660,
22,0.022,0.016283,-0.005840,-0.001328,0.008793,-0.001111,0.001958,0.005306,0.015889,
23,0.023,0.022976,-0.004640,0.001386,0.020177,0.001042,0.003485,0.001395,0.016955,
24,0.024,0.019025,-0.018562,0.002235,0.010328,-0.003876,-0.000430,0.006112,0.011309,
25,0.025,0.019026,-0.013065,-0.001465,0.005073,-0.002203,-0.016242,0.001865,-0.000156,
26,0.026,0.019079,-0.004741,-0.002111,-0.006379,0.000629,-0.048434,0.001335,-0.013879,
27,0.027,0.014740,0.002687,-0.006286,-0.010550,0.001088,-0.070596,-0.002234,-0.015595,
28,0.028,0.020456,0.009397,-0.003377,-0.006143,0.002208,-0.064392,0.002826,-0.020492,
29,0.029,0.017339,0.015390,0.004381,-0.009525,0.000974,-0.043213,0.002128,-0.024869,
30,0.030,0.013184,0.020674,0.001165,-0.010211,0.006637,-0.010048,-0.003644,-0.023336,
31,0.031,0.019086,0.019367,0.004187,-0.010911,0.005709,0.011751,0.001582,-0.019472,
32,0.032,0.011009,0.010682,-0.000362,0.001477,0.004952,0.023124,0.003595,-0.004557,
33,0.033,0.011756,0.004924,0.002170,0.006712,0.000002,0.047470,-0.003358,0.001512,
34,0.034,0.010702,0.003747,0.002838,0.008362,0.002984,0.049639,-0.009801,-0.000345,
35,0.035,0.011355,0.000895,0.000819,0.004426,0.001236,0.051452,-0.007277,-0.002021,
36,0.036,0.016329,-0.005128,-0.000851,0.003352,-0.002339,0.042475,-0.002049,0.008580,
37,0.037,0.011292,-0.003042,-0.006046,-0.004293,-0.004546,0.034535,-0.000032,0.001640,
38,0.038,0.004400,-0.008021,-0.001127,-0.009377,-0.004214,0.014003,0.004184,0.002816,
39,0.039,0.007120,-0.003883,-0.001623,0.004711,0.001492,0.000342,0.001292,0.006000,
40,0.040,0.007976,0.002415,0.004780,0.010788,-0.002755,-0.016539,0.002799,0.006979,
41,0.041,0.002859,0.003133,0.000545,-0.005875,-0.000592,-0.031441,0.004982,0.002396,
42,0.042,0.004999,0.005202,-0.003157,-0.012349,-0.001302,-0.024832,-0.001461,0.003224,
43,0.043,0.000973,0.007108,0.001739,-0.014240,-0.003013,-0.022506,-0.002313,0.002525,
44,0.044,-0.001642,0.001283,0.007448,-0.004860,0.002181,-0.003797,0.000216,0.008883,
45,0.045,-0.006038,-0.000969,0.008073,-0.006472,0.000111,0.003436,-0.005038,0.013017,
46,0.046,-0.004041,0.000994,0.004498,-0.004899,-0.000430,0.009876,-0.007080,0.009225,
47,0.047,-0.006571,-0.004768,-0.003752,-0.006226,-0.000958,0.003743,-0.000150,0.009830,
48,0.048,-0.009718,-0.005457,-0.002714,0.005062,-0.003496,-0.020074,0.002549,0.012784,
49,0.049,-0.008985,-0.003449,-0.003702,0.003484,0.001541,-0.035846,-0.003375,0.011015,
50,0.050,-0.010599,0.000748,0.000862,0.010331,0.003527,-0.032403,-0.001187,0.005223,
51,0.051,-0.011188,-0.002135,0.001697,0.004003,0.002983,-0.013044,0.002363,0.004513,
52,0.052,-0.015944,0.000381,-0.000489,0.004943,-0.002269,-0.005626,0.002869,0.000943,
53,0.053,-0.013310,-0.005684,0.001529,0.005850,-0.001607,0.001001,0.002364,-0.002097,
