"Frame","Accelerazione","Velocità_angolare","Destro"
"1185.0","-25.333544694636903","-25.333544694636903","true"
"1269.0","-48.12294950565039","-48.12294950565039","false"
"1411.0","-39.60510038600128","-39.60510038600128","true"
"1500.0","-73.04356537427341","-73.04356537427341","false"
"1645.0","-66.46310094069416","-66.46310094069416","true"
"1728.0","-51.069139744289046","-51.069139744289046","false"
"1865.0","-57.86202757126811","-57.86202757126811","true"
"1927.0","-68.4496355534956","-68.4496355534956","false"
"2070.0","-39.61655699313539","-39.61655699313539","true"
"2155.0","-78.83471440055744","-78.83471440055744","false"
"2290.0","-34.0114208379834","-34.0114208379834","true"
"2377.0","-57.38222315949804","-57.38222315949804","false"
"2530.0","-95.65763901955592","-95.65763901955592","true"
"2604.0","-71.85171198109201","-71.85171198109201","false"
"2755.0","-78.39507527440483","-78.39507527440483","true"
"2818.0","-86.18059800867312","-86.18059800867312","false"
"2958.0","-28.391367386724905","-28.391367386724905","true"
"3043.0","-70.32880448887752","-70.32880448887752","false"
"3176.0","-21.62444131073168","-21.62444131073168","true"
"3269.0","-29.131802189457815","-29.131802189457815","false"
"3404.0","-40.45017251410276","-40.45017251410276","true"
"3470.0","-3.746828075718091","-3.746828075718091","false"
"3499.0","-4.397009872004729","-4.397009872004729","true"
"3515.0","-4.620810909514022","-4.620810909514022","true"
"3533.0","-2.7072784530564125","-2.7072784530564125","true"
"3569.0","-1.7940196942402475","-1.7940196942402475","true"
"3609.0","-2.1537673350953748","-2.1537673350953748","true"
"3640.0","-2.2133000005413637","-2.2133000005413637","true"
"3801.0","-3.880903611356765","-3.880903611356765","true"
"3848.0","-1.7615869781196412","-1.7615869781196412","true"
