PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,
0, 238053824, 43.8803596496582, -85.54631805419922, 107.98904418945312, 0, 0, 0, 0, 0, 0, 
1, 238070491, 43.20050811767578, -85.55256652832031, 108.62347412109375, 9.988136291503906, 0.5387882590293884, 0.6163235902786255, -0.5768108367919922, 1.4892953634262085, 0.09177670627832413, 
2, 238087158, 42.466487884521484, -85.50172424316406, 109.35260772705078, 9.948533058166504, 0.5108011364936829, 0.6529900431632996, -0.3449646532535553, 1.0343624353408813, 0.1942531317472458, 
3, 238103825, 41.57027053833008, -85.45368957519531, 110.2270736694336, 9.909037590026855, 0.4922184348106384, 0.7128382325172424, -0.5402870774269104, -0.24828949570655823, 0.23656529188156128, 
4, 238120492, 40.5501823425293, -85.40620422363281, 111.29336547851562, 9.890984535217285, 0.4973960816860199, 0.655684769153595, -1.1896075010299683, -1.1120010614395142, 0.23446506261825562, 
5, 238137159, 39.86056137084961, -85.374755859375, 112.04659271240234, 9.883830070495605, 0.49677422642707825, 0.6863606572151184, -1.064899206161499, -0.7496964931488037, 0.06744463741779327, 
6, 238153826, 39.46669387817383, -85.359619140625, 112.44953155517578, 9.879534721374512, 0.5249105095863342, 0.6780866980552673, -1.049544334411621, -1.6118454933166504, -0.06500503420829773, 
7, 238170493, 39.26390838623047, -85.34537506103516, 112.70002746582031, 9.892586708068848, 0.5195890665054321, 0.6413278579711914, -0.949501097202301, -1.4610124826431274, -0.16571415960788727, 
8, 238187160, 39.20170211791992, -85.34175109863281, 112.80269622802734, 9.929522514343262, 0.510508120059967, 0.6724886894226074, -0.6027691960334778, -1.4718594551086426, -0.03469239920377731, 
9, 238203827, 39.11751937866211, -85.35396575927734, 112.93832397460938, 9.966472625732422, 0.4974859356880188, 0.6374720931053162, 0.2761753499507904, -1.7850513458251953, 0.7349628210067749, 
10, 238220494, 38.865211486816406, -85.36658477783203, 113.26634979248047, 9.991425514221191, 0.47304362058639526, 0.5818257927894592, 0.8941457867622375, -0.8080422878265381, 1.3492579460144043, 
