Frame,Time,GSensor.X,GSensor.Y,GSensor.Z,
158,1.580,0.170,-1.195,8.980,
159,1.590,0.203,-1.184,8.933,
160,1.600,0.189,-1.224,9.028,
161,1.610,0.183,-1.249,9.005,
162,1.620,0.150,-1.307,9.035,
163,1.630,0.105,-1.314,9.006,
164,1.640,0.164,-1.302,8.994,
165,1.650,0.146,-1.364,8.896,
166,1.660,0.168,-1.302,8.917,
167,1.670,0.208,-1.134,8.924,
168,1.680,0.163,-1.176,9.010,
169,1.690,0.169,-1.162,8.919,
170,1.700,0.171,-1.207,8.956,
171,1.710,0.176,-1.259,8.939,
172,1.720,0.140,-1.223,8.950,
173,1.730,0.147,-1.211,8.933,
174,1.740,0.214,-1.163,8.884,
175,1.750,0.196,-1.174,8.918,
176,1.760,0.196,-1.178,8.913,
177,1.770,0.215,-1.241,8.975,
178,1.780,0.219,-1.234,9.006,
179,1.790,0.160,-1.287,8.997,
180,1.800,0.145,-1.250,9.038,
181,1.810,0.170,-1.212,8.941,
182,1.820,0.175,-1.143,8.884,
183,1.830,0.200,-1.137,8.919,
184,1.840,0.224,-1.168,8.921,
185,1.850,0.236,-1.188,8.950,
186,1.860,0.235,-1.253,8.963,
187,1.870,0.235,-1.291,8.982,
188,1.880,0.182,-1.271,9.014,
189,1.890,0.194,-1.238,9.010,
190,1.900,0.180,-1.165,8.964,
191,1.910,0.113,-1.172,8.935,
192,1.920,0.075,-1.128,8.959,
193,1.930,0.059,-1.199,8.980,
194,1.940,0.077,-1.255,8.938,
195,1.950,0.154,-1.248,8.986,
196,1.960,0.230,-1.268,8.964,
197,1.970,0.166,-1.237,8.929,
198,1.980,0.211,-1.212,9.011,
199,1.990,0.236,-1.133,8.933,
200,2.000,0.223,-1.177,8.963,
201,2.010,0.194,-1.169,8.931,
202,2.020,0.146,-1.187,9.003,
203,2.030,0.226,-1.223,8.997,
204,2.040,0.194,-1.200,8.944,
205,2.050,0.188,-1.225,8.974,
206,2.060,0.206,-1.235,8.927,
207,2.070,0.215,-1.232,8.994,
208,2.080,0.188,-1.208,8.969,
209,2.090,0.198,-1.257,8.991,
210,2.100,0.186,-1.259,8.959,
211,2.110,0.189,-1.202,8.899,
212,2.120,0.159,-1.181,8.956,
213,2.130,0.102,-1.175,8.890,
214,2.140,0.098,-1.196,8.949,
215,2.150,0.092,-1.151,8.966,
216,2.160,0.172,-1.166,9.069,
217,2.170,0.236,-1.246,9.004,
218,2.180,0.236,-1.255,9.016,
219,2.190,0.183,-1.207,9.032,
220,2.200,0.172,-1.183,9.106,
221,2.210,0.127,-1.155,8.993,
222,2.220,0.101,-1.153,9.027,
223,2.230,0.109,-1.138,8.920,
224,2.240,0.214,-1.113,8.974,
225,2.250,0.153,-1.172,8.956,
226,2.260,0.195,-1.224,8.925,
227,2.270,0.232,-1.222,8.951,
228,2.280,0.166,-1.256,8.902,
229,2.290,0.164,-1.277,8.929,
230,2.300,0.127,-1.182,8.988,
231,2.310,0.164,-1.163,8.930,
232,2.320,0.092,-1.172,8.975,
233,2.330,0.147,-1.226,8.975,
234,2.340,0.213,-1.301,8.961,
235,2.350,0.261,-1.218,8.955,
236,2.360,0.237,-1.134,8.988,
237,2.370,0.249,-1.186,9.005,
238,2.380,0.218,-1.091,9.029,
239,2.390,0.242,-1.206,8.975,
240,2.400,0.231,-1.261,8.988,
241,2.410,0.133,-1.241,8.979,
242,2.420,0.172,-1.207,8.950,
243,2.430,0.134,-1.170,8.939,
244,2.440,0.105,-1.183,8.943,
245,2.450,0.141,-1.153,8.947,
246,2.460,0.120,-1.166,8.902,
247,2.470,0.157,-1.199,8.913,
248,2.480,0.127,-1.244,8.920,
249,2.490,0.121,-1.259,8.962,
250,2.500,0.115,-1.285,8.978,
251,2.510,0.166,-1.236,8.997,
252,2.520,0.162,-1.238,9.005,
253,2.530,0.160,-1.222,8.999,
254,2.540,0.198,-1.226,8.929,
255,2.550,0.194,-1.208,8.909,
256,2.560,0.248,-1.171,8.970,
257,2.570,0.290,-1.187,8.961,
258,2.580,0.245,-1.149,8.997,
259,2.590,0.213,-1.253,9.014,
260,2.600,0.220,-1.241,9.045,
261,2.610,0.169,-1.251,9.011,
262,2.620,0.145,-1.266,8.998,
263,2.630,0.072,-1.237,8.944,
264,2.640,0.090,-1.206,8.929,
265,2.650,0.062,-1.199,8.937,
266,2.660,0.085,-1.204,8.950,
267,2.670,0.132,-1.216,8.924,
268,2.680,0.154,-1.202,8.937,
269,2.690,0.164,-1.222,8.978,
270,2.700,0.215,-1.193,8.990,
271,2.710,0.229,-1.169,8.991,
272,2.720,0.202,-1.158,8.915,
273,2.730,0.146,-1.093,9.009,
274,2.740,0.201,-1.153,8.972,
275,2.750,0.115,-1.189,9.030,
276,2.760,0.141,-1.146,9.027,
277,2.770,0.090,-1.230,9.054,
278,2.780,0.117,-1.231,9.046,
279,2.790,0.133,-1.214,9.065,
280,2.800,0.200,-1.247,8.996,
281,2.810,0.218,-1.287,9.024,
282,2.820,0.213,-1.172,8.973,
283,2.830,0.217,-1.155,8.992,
